title,description,cuisine,rating,ingredient_list,servings,prep_time,cook_time,rest_time,ready_time,source,steps,recipe_url,image_url
Espresso Martini,-,"London, England",4.7,"['5 cl (50 ml) (1 2/3 oz) vodka', '1 cl (10 ml) (1/3 oz) Kahlúa', 'sugar syrup (according to individual preference of sweetness)', '1 short strong espresso (15 ml ristretto) (1,5 cl) (1/2 oz)', '3 coffee beans, for garnish']",1,10min,1min,-,11min,TasteAtlas,"['Put all the ingredients, plus ice, into a shaker, then shake and strain into a pre-chilled cocktail glass.', 'Garnish with three coffee beans.']",https://www.tasteatlas.com/espresso-martini/recipe,-
Classic Rösti,"Traditionally prepared all over Switzerland, this Alpine favorite is sometimes served as a side with meat dishes, or sometimes even as a non-meat main course. Despite the fact that this simple peasant dish is made with only a few humble ingredients, it seems as if the Swiss are doing a good job at keeping the original recipe a secret, as it is surprisingly elusive. Basic rösti consists of nothing but grated boiled or raw potatoes, although regional variations call for the addition of a number of extra ingredients, such as bacon, onion, cheese, fresh herbs, caraway seeds, or even apples. The grated potato is then shaped into rounds or patties and is most often pan-fried in oil, butter, lard, or even a combination of different kinds of fats.","Canton Of Bern, Switzerland",3.9,"['4 large potatoes, waxy and starchy', '2 tbsp lard or butter', '2 tbsp vegetable oil', 'salt, to taste']",4,1h 30min,40min,1h 10min,3h 20min,TasteAtlas,"['Place potatoes in a large saucepan, cover with cold water, and bring to a boil over medium-high heat. Cook for about 30 minutes or until tender. Drain them and set aside to cool for about 10 minutes. Peel the potatoes, then refrigerate them until chilled, for at least 1 hour. Lastly, grate them using the large holes on a cheese grater; reserve on the side.', 'Heat lard or butter and oil in a nonstick skillet over medium-low heat. When melted, add potatoes, sprinkle with salt, and mix well, coating the potatoes with fat. Then, gently press the potatoes using a spatula, molding them to fit the skillet. Cook, occasionally shaking, until edges are golden brown and crisp, about 20 minutes.', 'When one side is done, cover the skillet with a large plate and invert the rösti over onto it, then slide it back into the skillet to cook the other side of the fritter. Fry until golden brown, about 20 minutes. Lastly, transfer onto a cutting board, sprinkle with salt, and cut into wedges to serve.']",https://www.tasteatlas.com/rosti/recipe,https://www.tasteatlas.com/images/recipes/95d3d96a65444de183a6c64f8aeadd25.jpg?mw=910
Gimlet,-,"England, Europe",5,"['2 oz (60 ml) (6 cl) gin', '3/4 oz (22,5 ml) (2,25 cl) lime cordial', 'lime wedge or lime wheel, for garnish, optional']",1,5min,-,-,5min,TasteAtlas,"['Add the ice, the gin, and the lime cordial to a mixing glass.', 'Stir, then strain into a chilled cocktail or a couple glass.', 'If desired, garnish with a lime wedge or a lime wheel.']",https://www.tasteatlas.com/gimlet/recipe,-
Tarator,-,"Bulgaria, Europe",4,"['2 cucumbers', '400 g Bulgarian yoghurt', 'finely crushed walnuts (to taste)', '1 clove of garlic', '1/2 l cold water', 'sunflower oil', 'dill, chopped']",4,15min,-,-,15min,TasteAtlas,"['Peel the cucumbers and cut into small cubes.', 'Stir yogurt while still in the pot, then add it to the cucumbers and continue stirring.', 'Pour in half a liter of cold water (more or less water may be needed depending on the desired consistency).', 'Crush the garlic with some salt in a mortar and pestle, then add to the soup together with ground walnuts and finely chopped dill. Season with a little sunflower oil.', 'Serve cold, as an appetizer.']",https://www.tasteatlas.com/tarator/recipe,-
Eton Mess,"Refreshing and delicious, yet so simple to make, Eton Mess is a traditional British dessert known worldwide. Around for over a century, the dessert has seen many variations; however, the traditional recipe remains fairly uncomplicated. The treat is made out of strawberries, whipped cream, egg whites, and sugar. Egg whites and sugar are mixed together in a bowl, then dropped in even amounts onto a baking tray. Once baked, the meringue has to cool down completely, preferably overnight, before it is ready to be broken into smaller pieces. Strawberries are washed, hulled, and chopped, then, together with the meringue, folded into whipped cream. There are numerous variations on the original recipe, including the use of different types of fruit (blueberries, pomegranate, passion fruit, oranges, and more) and flavorings, such as chocolate, rosewater, and mint. The treat is usually served in glass serving cups or a bigger serving dish.","Eton, England",4.6,"['2 large egg whites', '120 g caster sugar', '500 g strawberries, hulled and roughly chopped', '450 ml double cream', '1 tbsp icing sugar']",6,20min,1h 15min,-,1h 35min,TasteAtlas,"['Beat the egg whites in a large mixing bowl until stiff peaks are formed. Gradually start adding caster sugar, all the while beating. Preheat the oven to 120℃ and cover a large baking tray with some parchment paper. Using a spoon, grab portions of the meringue mixture and drop them onto the baking tray. Bake on the bottom shelf of the oven for 1hr-1hr15mins until the meringues have hardened completely. Let them cool.', 'In a big bowl, whip the cream with the icing sugar. Blend 1/3 of the strawberries into the strawberry sauce. Separate ¾ of the cooled meringues, crush them, and gently mix them with chopped strawberries. Finally, add strawberry sauce to the mixture. Fill the bowls with the mixture, then crush the leftover meringues and sprinkle the pieces over the top.']",https://www.tasteatlas.com/eton-mess/recipe,-
Bombardino,-,"Livigno, Italy",4.7,"['2 parts Vov', '1 part whiskey or brandy', 'whipped cream', 'cinnamon, for garnish']",1,5min,1min,-,6min,TasteAtlas,"['Heat the VOV but do not let it boil.', 'Add whisky and stir.', 'Pour into an Irish coffee mug, top with whipped cream, and sprinkle with cinnamon.']",https://www.tasteatlas.com/bombardino/recipe,-
Auguste Escoffier'S Classic Sauce Velouté,"A true classic of French cuisine, sauce velouté is a velvety concoction of veal, chicken, or fish stock and roux — melted butter thickened with flour. Although it may seem simple at first glance, its preparation is quite time-consuming, and, when done right, employs a number of culinary techniques. The preparation starts with making the stock. Fresh bones are broken into pieces and simmered in water. Although roasting the bones is more than welcomed in the preparation of some stocks and soups, in this case, it should be avoided. During the lengthy cooking process, which can take up to 5 hours, the fat and the impurities must be skimmed off the surface regularly, in order for the stock reach its clear texture. Meat, carrots, onions, leeks, and herbs are added in the next step, and the stock is simmered for an additional 3 hours. It is then strained and set aside to cool slightly while moving on to the following chapter — the roux. Butter and flour are combined in a saucepan over low to medium heat, and their function is to thicken the sauce. The next step is quite delicate: the stock is poured into the roux, and to avoid lumps the mixture needs to be stirred constantly. At this point, the velouté can be seasoned with salt, pepper, and nutmeg. A small portion of mushroom skins and trimmings may also be added to enrich the taste. The sauce is simmered gently for 1,5 hours after which if it is strained, and cooked for an additional 30 minutes. Once again, the velouté is strained through a muslin cloth, so it becomes smooth and velvety, and is cooled by being stirred gently. At this moment the sauce can be served with meat, chicken, or fish, or used as a base for other sauces, such as sauce Suprême, Allemande, Bercy, and others. Sauce velouté is sometimes confused with béchamel because they both have white roux as a building block. However, the main difference is that velouté uses stock, while béchamel uses milk, and that velouté is slightly darker than the béchamel.","France, Europe",4.3,"['10 lbs veal shin', '7 qt cold water', '15 oz carrots', '7,5 oz onions, stuck with a clove', '5 oz leeks, strung with a stick of celery', '1 bunch fresh herbs (1,25 oz parsley, 1 bay leaf, 1 spring thyme)', '8 oz clarified butter', '9 oz flour', '1 lb pale roux', '5 qt white veal stock', '1 oz salt', '1 pinch nutmeg', 'white pepper, to taste', '1/4 lb white mushrooms’ skins and trimmings (optional)']",16,48min,2h 10min,-,2h 58min,TasteAtlas,"['Start by preparing the white veal stock. Remove the bone from the shin. Break the bone into small pieces and tie the meat with a string. Place the pieces of bone into a stewpan, add water and bring to a boil. Skim the impurities from the surface and continue simmering for 5 hours. After 5 hours, transfer the stock into another stewpan with meat, vegetables, and herbs. If necessary, add water, so there is 5 qt of liquid. Bring to a boil, then simmer for 3 hours. Collect the fat from the surface and strain the stock through a mesh or a colander. Allow to cool.', 'To prepare the pale roux, place butter and best-quality flour in a stewpan with a heavy-bottom. Mix continuously over medium heat. When the roux starts changing color, remove it from heat.', 'Assemble the sauce velouté. First, reserve 1 pint of white veal stock and set it aside. Pour the remaining stock into a saucepan and add pale roux. Stir until the pale roux dissolves completely. Place on heat and stir or whisk, so it doesn’t burn at the bottom. Season with salt, white pepper, and nutmeg and add mushrooms if available.', 'Now, bring the sauce to a boil, then simmer for 1,5 hours over low heat without stirring, so it clarifies.', 'Prepare a smaller saucepan and strain the sauce through a muslin cloth. Add 1 pint of the white veal stock you have reserved previously and simmer for another 30 minutes. Once again, strain the sauce through a tamis into a serving bowl, and stir gently until the sauce cools completely.']",https://www.tasteatlas.com/veloute/recipe,-
Lemon Granita,-,"Sicily, Italy",4.7,"['1/2 l water', '300 g sugar', '5 lemons']",4,5min,10min,-,15min,TasteAtlas,"['Wash the lemons thoroughly and grate the zest of 2 lemons. Squeeze all the lemons, strain the juice to remove seeds, and set aside.', 'Place water, sugar, and lemon zest in a saucepan. Heat over low flame until the sugar is completely dissolved. Remove from heat before the syrup starts boiling.', 'Cool the syrup and add the lemon juice.', 'Transfer the mixture into a shallow container and place it into a freezer. Stir occasionally using a spatula to prevent the aromas and sugar from falling to the bottom of the container and to give the granita a coarse texture.', 'Serve with a brioche.']",https://www.tasteatlas.com/granita-al-limone/recipe,https://www.tasteatlas.com/images/recipes/e0c658bba4374c29a1867461b7b074bf.jpg?mw=910
Italian Academy Of Cuisine'S Vitello Tonnato,"This classic Italian entrée is made with braised veal cutlets marinated in white wine smothered in a velvety tuna, anchovy, and caper sauce. Even though the combination of veal and tuna might sound a bit unusual at first, these ingredients go surprisingly well together, while the addition of capers and anchovies to the egg-based sauce flavored with lemon juice and wine takes this famous Italian dish to another level. Vitello tonnato tastes even better when prepared a day in advance and left in the fridge until ready to serve, as this will allow the flavors to come through better. When plated with a garnish of capers, parsley, anchovies, and lemon slices, these delicate veal slices topped with an aromatic tuna sauce make for an interesting contrast of colors and textures and a real feast of flavors.","Piedmont, Italy",3.9,"['500g (1.1 lbs) veal top round', '50g (3 tbsp + 1 tsp) butter', '5 salted anchovies', '1 tbsp white flour', '2 yolks of boiled egg', '5-6 salted capers', '80g (3 oz) tuna in oil', 'vinegar (to cover)', '1 onion', '2 bay leaves', '3 cloves', '1 piece of cinnamon', '4-5 black peppercorns']",4,25min,45min,13h,14h 10min,TasteAtlas,"['In a large stockpot, cover the meat with water, vinegar, and aromatics — bay leaf, salt, pepper, onion, cloves, cinnamon — and let it marinate overnight.', ""The following day, drain and pat dry the meat. Don't throw away the marinade."", 'Place a large pan over high heat, add butter, and once it melts, sear the meat. Then, lower the heat, add flour and the marinade and cook for 30 minutes. Remove the meat.', 'Using a mixer, make a sauce from the leftover cooking liquid, tuna, egg yolks, capers, and anchovies.', 'Let the meat cool to room temperature, then cut it into slices.', 'For serving, plate the veal slices and pour them over with sauce.']",https://www.tasteatlas.com/vitello-tonnato/recipe,https://www.tasteatlas.com/images/recipes/e61fb3a37b644b9482fd9e31e4698ed0.jpg?mw=910
Cheese Soufflé,-,"France, Europe",4,"['3 tbsp unsalted butter, plus more for greasing the dish', 'Grated Parmigiano–Reggiano or Grana Padano, for dusting the dish', '3 ½ tbsp all-purpose flour', '1 cup (240 ml) whole milk', 'Kosher salt and freshly ground black pepper', '1 tsp Dijon mustard (optional)', '1 pinch cayenne pepper or two dashes hot sauce (optional)', '4 large egg yolks', '5 large cold egg whites', '½ tsp cream of tartar (optional)', '3 oz (85g) freshly grated Gruyère or other semi-firm cheese, such as cheddar']",2,30min,30min,-,1h,TasteAtlas,"['Use some softened butter to coat a 48-ounce (1.4-liter) ramekin, then add grated Parmigiano-Reggiano, making sure the cheese covers all of the buttered surfaces. After wiping the rim of the ramekin, put it in the refrigerator until needed.', 'If you want a browner soufflé with a wobblier center, preheat the oven to 400°F/200°C. For a more tender cooked soufflé, which is baked all the way through, adjust the oven heat to 375°F/190°C. The oven rack should be set at the lowest position possible.', 'Melt 3 tablespoons of butter in a small saucepan over medium-high flame, not allowing it to brown. Next, add the flour, stir into a paste, and cook for approximately 1 more minute, until the raw flour scent disappears, continually stirring. Continue to whip the mixture while you slowly start adding milk (in a thin stream or a few tablespoons at a time). Be mindful of retaining a lump-free texture. The sauce will thicken initially, then become thin again, when all the milk is mixed in.', 'Bring to a simmer, stirring continuously, until the sauce thickens slightly. Next, cook on low heat for about 3 minutes, scraping the bottom and the sides of the pan, until the sauce reaches the desired thickness. After seasoning it with salt and pepper, pour the béchamel sauce into a big heatproof mixing bowl. Allow it to cool a bit.', 'Beat the mustard/pepper/hot sauce into the béchamel, if desired. Add egg yolks, one by one, all the while mixing. Blend completely, then leave to rest.', 'Beat egg whites with cream of tartar (if using) in a big bowl until stiff, shiny peaks. Add a third of the beaten egg whites into the béchamel sauce and mix thoroughly. Stir in the Gruyère, then gently fold the remaining egg whites into the soufflé base, using a silicone spatula. Mix only until well combined.', 'Take the soufflé dish out of the refrigerator and put it on a rimmed baking sheet. Pour the batter into the dish, but not to the top – only to the inner ridge. Optionally, level out the surface.', 'Bake the soufflé in the oven until it browns nicely. At 400ºF/200°C, bake about 30 minutes for a less set and 35 minutes for a more set soufflé. If you decide to cook it at 375°F/190°C, leave it in for 35-40 minutes for fully set.', 'Serve immediately, scooping out portions onto plates.']",https://www.tasteatlas.com/souffle-au-fromage/recipe,https://www.tasteatlas.com/images/recipes/5cf341ba0a884f4b9a299e4e2efad63f.jpg?mw=910
Italian Academy Of Cuisine'S Zabaione,"This feathery light Piedmontese dessert can literally be prepared in a matter of minutes and requires no more than three ingredients: egg yolks, sugar, and Moscato d’Asti. Egg yolks and sugar are mixed in a double-boiler until they turn glossy and liquid. At this point, wine, which is traditionally measured in eggshells, is gradually added while constantly whisking until the mixture thickens, froths, and grows in volume. However, zabaione should never boil, as it may cause eggs to curdle. Once you see the ribbons forming, remove the zabaione from the heat and divide between cups. Serve it warm with cookies, wafers, or fresh fruits like berries. You can also sprinkle it with chocolate or nutmeg.","Piedmont, Italy",3.9,"['8 egg yolks', '8 half eggshells of dry Marsala wine', '8 tbsp of sugar']",4,1min,5min,-,6min,TasteAtlas,"['In a saucepan with a rounded bottom (best if it’s a copper one), whisk the yolks with sugar. While continuously whisking, slowly pour in the marsala wine.', 'Place the bowl over a pan of simmering water, taking care that the bottom is not touching the water. Continue to whisk the yolks over low heat until it thickens and turns fluffy.', 'Just as the egg yolk mixture might boil, remove it from the heat and pour into prepared cups.', 'Serve hot with ladyfingers or melicotti, a traditional Piedmontese cookie.']",https://www.tasteatlas.com/zabaione/recipe,https://www.tasteatlas.com/images/recipes/00b327ea2c9d46e4ba01bccbe2b15c12.jpg?mw=910
Qatayef I,"One of the most recognizable Ramadan sweets, qatyef is a stuffed pancake that is either fried or baked, but can also be left uncooked after it’s been stuffed. However, unlike regular pancakes, Arabic pancake qatyef is only baked on one side, which leaves the other side bubbly and soft, perfect for soaking up the delicious filling. The traditional fillings include sweetened clotted cream eshta, nuts like pistachio, hazelnuts, or pine nuts, while savory qatayef is usually filled with cheese, or left plain and served with soups. The basic batter for the pancakes is made with only flour, yeast, baking powder, salt, and water, but older recipes will also include semolina flour. Milk, whole wheat flour, sugar, oil, and various flavorings such as orange blossom water or rosewater are also common in recipes. Once filled, then baked or fried, qatayef is either dipped in or drizzled with syrup. Depending on their size, qatayef can be classified into three categories — regular, mini, and giant. The mini qatayf or qatayef asafiri is filled with clotted cream eshta and then dipped into ground pistachios, but unlike regular qatayef, it is not baked nor fried. The giant qatayef consists of two large pancakes which are not folded but stacked, with the filling in the middle.","Egypt, Africa",3.5,"['1 sachet active dry yeast (2¼ teaspoons)', '1 teaspoon sugar', '1½ cups warm water', '1½ cups flour', 'a pinch of salt', '1 cup chopped walnuts', '4 tbsp sugar', '1 tsp cinnamon', '1 ¼ cups cold water', '1/2 tsp lemon juice', '1 tbsp orange blossom water or rosewater', '1/3 cup melted clarified butter (or regular butter), for baking']",9,45min,1h,-,1h 45min,TasteAtlas,"['First, make the syrup. Cook water and sugar in a pan over medium heat, stirring occasionally. Once boiling, add lemon juice and continue to boil the syrup for 12 minutes over medium-low heat. It’s important that you do not stir the syrup once it begins to boiling, as that will turn the syrup cloudy. After 12 minutes have passed, add the orange blossom water or rosewater, and boil for 30 seconds. Remove from the heat and wait until it cools completely.', 'Dissolve sugar and yeast in ¼ cup of warm water, then sift the flour directly into a large mixing bowl. Next, pour in the remaining water and the yeast mixture, and add salt. Whisk until well blended, and there are no lumps in the batter. Cover the bowl with a clean cloth and store in a warm place for an hour so the batter can rise.', 'Lightly grease a heavy-bottomed frying pan then heat it over medium heat. Meanwhile, whisk the batter to blend all the ingredients that have separated. Also, check to see if the batter is too thick, as you may need to add a few tablespoons of water to get the right consistency.', 'Pour a 1/4 cup portion of batter into the pan, then spread it into a circle, taking care that you get a pancake 10cm in diameter. Bubbles will appear on its surface as it cooks, but the pancake is done when the top is no longer shiny. Place the pancake on a clean towel cooked side down to cool, and cover it with a clean cloth while you cook the rest of the batter. You can also cook multiple pancakes at the same time.', 'Combine all the ingredients for the filling.', 'To fill the pancakes, first, lay the pancake cooked side down and place about 1 tbsp of the filling in the center of the pancake. Fold the pancake in half, and pinch the edges to seal. Repeat this step with the remaining pancakes. Arrange the pancakes on a baking tray and cover them with a clean cloth until you are ready to bake them, up to several hours.', 'Meanwhile, set the oven to preheat to 180°C, then brush the pancakes on both sides with melted clarified butter.', ""If you prefer a softer qatayef, bake in the oven for 15 minutes. In case you'd like your gatayef crunchier, bake for 20 minutes, flipping them over after 10 minutes."", 'While still hot, shortly dip each qatayef in syrup. Arrange the still warm qatayef pancakes on a platter and serve with extra syrup on the side.']",https://www.tasteatlas.com/qatayef/recipe,-
Classic Gallo Pinto,"As a dish invented to salvage the leftovers from the day before — namely, black beans and rice — gallo pinto barely needs a recipe, if you ask the Costa Ricans. If you decide to make it from scratch, note that the first step is soaking the dried beans overnight: this will soften their skin and shorten the cooking time. The beans are then cooked on medium heat for about three hours or until tender, and a small amount of water they were cooked in needs to be set aside. Next step is to fry the rice in some vegetable oil, and sauté it with some finely chopped onions and bell peppers: some recipes even suggest adding minced ham or sausage to this mixture. The rice and vegetables are then cooked in chicken broth or water until they become tender. Finally, some of the water the beans were cooked in is added to give the dish its specific color, and all the ingredients are sautéed once again. If pre-cooked beans and rice are used, it is enough to sauté them with vegetables in some vegetable oil. Gallo pinto is most commonly served for breakfast — the Costa Ricans pair it with coffee — but is also a common sight during lunch or dinner. The dish is so popular that it can be found virtually everywhere — from upscale hotels to fast-food chains such as Burger King. Local variants either omit the peppers (in Guanacaste province) or add some shredded coconut (on the Caribbean side of Costa Rica). One last thing that should be mentioned is Salsa Lizano, a store-bought sour-sweet condiment, which is served with almost every meal in Costa Rica, and gallo pinto is no exception.","Costa Rica, Central America",4.9,"['1 lb (450 g) black beans (fresh or dried)', '8-10 sprigs cilantro (fresh or frozen, not dried)', '1 small or medium onion', '1/2 small red or yellow sweet pepper (optional)', '3 cups (700 ml) chicken broth or water', '2 cups (350 ml) white rice', '1/2 tsp salt', '1 tbsp vegetable oil (for frying the rice)', '1-3 tbsp oil (for frying the gallo pinto)']",4,10min,3h 50min,-,4h,TasteAtlas,"['If you use dried beans for this recipe, soak them in water overnight. If you use them fresh, rinse them with some water.', 'Drain the beans. Put them in a pan and cover with fresh water. Bring to boil, reduce heat and cook for approximately 3 hours, or until the beans are soft. Add salt. Keep 1/2 to 1 cup of the water the beans have been cooked in for later preparation.', 'Finely chop the onion, sweet pepper and cilantro. Divide in two.', 'Take a large pan, heat 1 tbsp of oil and sauté dry rice for 2 minutes. Add half the amount of chopped onion, peppers, and cilantro and sauté for 2 more minutes. Then, pour in water or chicken broth and bring to boil. Cover the pan, reduce the heat to low and continue cooking for 20 to 35 minutes until the rice is cooked.', 'To assemble the gallo pinto, place cooked rice, cooked beans and the remaining half of chopped onions, peppers and cilantro in a large pan. Sauté on 1-3 tbsp vegetable oil for a few minutes and add some of the water reserved from cooking the beans.', 'Decorate with some fresh chopped cilantro and serve.']",https://www.tasteatlas.com/gallo-pinto/recipe,https://www.tasteatlas.com/images/recipes/c05bcd1abd8f4764a190c72554ebb5b2.jpg?mw=910
Tocino,"Thin slices of pork belly or pork shoulder, marinated for a few days in a mix of salt, sugar and a touch of salitre — that, in short, is tacino, a sweet, fall-apart tender, cured pork, typically served for breakfast with garlic rice and sunny-side-up eggs. The preparation starts with marinating the meat in the mixture of salt, sugar, and salitre, although most commonly recipes nowadays will opt for food coloring instead. The marinade can also include extra ingredients such as pineapple juice for tanginess, anise wine, annatto powder which is used as a healthier alternative to salitre, soy sauce, garlic, and even Sprite, or Pepsi. The meat is marinated anywhere from overnight to up to a week, and then traditionally first braised in water until the water evaporates, and then fried until the fat has rendered and the meat has caramelized. The alternative to this is that the meat can also be only fried in oil or only cooked.","Philippines, Asia",5,"['1 tbsp salt', '1/2 cup (50g) sugar', '2 lbs (1 kg) boneless pork belly or shoulder, sliced', '3 cups (750 ml) water', '1 tbsp oil', 'fried rice, 4-6 fried eggs, to serve']",6,15min,15min,-,30min,TasteAtlas,"['Mix salt with sugar, then coat each piece of meat with the mixture.', 'Arrange the meat in an airtight container and keep refrigerated for a week.', 'When ready to cook, pour water in a large skillet, then add the meat.', 'Bring to a boil, then lower the heat to medium, and cook, while consantly stirring for about 10 minutes until all the water has eveporated.', 'Now, set the heat to low and add the oil. Fry until the meat is looking the way you like it.', 'Serve hot with a side of garlic rice and fried eggs (an egg per person).']",https://www.tasteatlas.com/tocino/recipe,-
Picarones,"Picarones, a Peruvian dessert, are made by blending sweet potato and pumpkin into a dough infused with anise and brown sugar. Once the mixture rests and rises, it's shaped into rings and deep-fried until golden and puffy. These doughnut-like treats are then drizzled with chancaca honey, a syrupy concoction infused with cinnamon, cloves, and orange juice.","Lima, Peru",4.5,"['250g (8.8 oz) chancaca', '240 ml (1 cup) water', '250g (8.8 oz) sugar', '240 ml (1 cup) orange juice', '2 fig leaves', '2 cinnamon sticks', '5 cloves', '750g (1 2/3 lbs) sweet potato, diced', '1 kg (2.2 lbs) pumpkin, diced', '2 tbsp anise', '60g (2 oz) brown sugar', '10g (2 tsp) dry yeast', '650g (23 oz) all-purpose flour']",20,40min,40min,4h,5h 20min,TasteAtlas,"['To create the chancaca honey, finely chop the chancaca and place it in a saucepan.', 'Add water and melt the chancaca thoroughly.', 'Once melted, strain through a sieve into another pot and throw away any debris.', 'Then, incorporate sugar, orange juice, fig leaves, cinnamon sticks, and cloves.', 'Simmer on medium until it reaches a syrupy (honey-like) consistency.', 'For the picarones, first prepare the sweet potato and the pumpkin.', ""Place the diced sweet potato in water so it's submerged, and cook over medium heat, covered, for about ten minutes."", 'Drain and keep the water aside.', 'Mash the sweet potatoes until smooth.', 'Repeat the process with 1 kg of pumpkin.', 'Next, add 200 ml of pumpkin water, 100 ml of sweet potato water, anise, brown sugar, and dry yeast to a bowl. Mix well.', 'Add 500g (1.1 lbs) of pumpkin purée, 300g (2/3 lb) of sweet potato purée, and flour. Mix until combined.', 'Let rest, covered, in a warm spot for about four hours.', 'For shaping the dough, dip your fingers in salted water to prevent sticking.', 'Once the rings are formed, fry them in hot oil until puffed.', 'Remove using a toothpick, place on a plate, and drizzle with the prepared honey.']",https://www.tasteatlas.com/picarones/recipe,-
Bramble,-,"London, England",5,"['4 cl (40 ml) (1 1/3 oz) gin', '1 cl (10 ml) (1/3 oz) sugar syrup', '1.5 cl (15 ml) (1/2 oz) fresh lemon juice', '1.5 cl (15 ml) (1/2 oz) blackberry liqueur', 'lemon slice', '2 blackberries']",1,5min,-,-,5min,TasteAtlas,"['Fill an Old-Fashioned glass with crushed ice, then pour in the gin, the sugar syrup, and the lemon juice.', 'Stir, then drizzle the blackberry liqueur over the ice, but do not stir the drink.', 'Garnish with a lemon slice and two blackberries and serve.']",https://www.tasteatlas.com/bramble/recipe,-
Larousse Gastronomique'S St. Honoré Cake,-,"France, Europe",5,"['125g (1 cup + 1 tsp) flour', '1 egg yolk', '50g (3 tbsp + 1 tsp) softened butter', '15g (1 tbsp) granulated sugar', '2 tbsp water', 'a pinch of salt', '250 ml (1 cup + 1 tbsp) water', '50g (3 tbsp + 1 tsp) butter', '15g (1 tbsp) sugar', '125g (1 cup + 1 tsp) flour', '4 eggs, beaten', '250g (1 ½ cups) sugar', '100 ml (1/3 cup + 1 tbsp + 1 tsp) water', '15g (0.5 oz) gelatin', '5 tbsp cold water', '1 L (4 cups) milk', '1 vanilla pod', '6 egg yolks', '200g (1 cup) sugar', '75g (1/2 cup + 1 tbsp) cornstarch', '4 egg whites', ""confectioners' sugar, as needed"", '1 egg, beaten, for coating']",8,30min,1h 15min,-,5h 45min,TasteAtlas,"['First, start by preparing the base for the cake by combining all the ingredients into a smooth dough. Keep the dough in the refrigerator and continue with the making of choux paste.', 'In the pan, heat water, butter, sugar, and a pinch of salt until boiling, at which point immediately incorporate the flour and stir, then remove from heat.', 'When the dough is formed into a ball, leave to cool, and with a beater, incorporate the eggs, one by one.', 'On a buttered baking tray place the rolled-out dough for the base, a circle 20 cm (8 inches) in diameter and 3 mm (1/8-inch) thick. Prick the dough base with a fork and with a beaten egg brush the edge.', 'Transfer a third of the choux paste into a piping bag with a smooth tip the width of a finger, then pipe a border 3 mm (1/8-inch) from the edge of the base. Brush the border with a beaten egg.', 'With the remaining choux paste using a piping bag and on a buttered tray pipe 20 choux balls the size of walnuts. Bake the base and the choux balls in an oven preheated at 200°C/400°F for approximately 25 minutes. When done, leave to completely cool.', 'For the caramel sauce cook the sugar and water until they reach 145°C/310°F. When still hot dip the choux balls into the caramel, stick them caramel side down on the border making sure they touch each other.', 'The last is the Chiboust cream filling. In a separate bowl soften the gelatin in 5 tablespoons of cold water. Beat egg yolks with caster sugar until white and thick and add the cornstarch.', 'Boil milk together with a vanilla pod, remove the pod and pour the milk over the egg yolk mixture. Return everything to a pan, bring to a boil while all the time whisking.', 'Incorporate the softened gelatin until completely dissolved. Bring the cream once more to a boil and pour over the egg whites that you’ve previously stiffly whisked. Fold in the whites and cream with a metal spoon and leave to cool until on the point of setting.', 'Fill the center of the cake with cream, sprinkle with icing sugar and broil shortly until golden. Until ready to serve, keep in a cool place.']",https://www.tasteatlas.com/st-honore-cake/recipe,https://www.tasteatlas.com/images/recipes/2c62c0605a654d3eaf515fc19f06fc68.jpeg?mw=910
Mousse Au Citron,-,"France, Europe",4.1,"['8 eggs', '1 ¼ cups (250g) sugar', '½ tsp kosher salt', 'Juice and zest of 4 lemons', '1 cup (240 ml) heavy cream', '1 tsp vanilla extract']",8,20min,10min,6h,6h 30min,TasteAtlas,"['In a 4-qt. saucepan, mix 4 eggs, 4 yolks, and 1 cup (200g) of sugar. Save the remaining egg whites. Stir in the salt and the lemon juice and zest.', 'Cook the mixture in bain-marie over medium flame for about 10 minutes, until it thickens and resembles a wobbly pudding. Finely strain into a big bowl and chill.', 'In a separate bowl, whip the cream and the vanilla until stiff peaks, then fold into the curd.', 'In another bowl, beat the egg whites with the remaining sugar until stiff peaks. Gently fold the egg whites into the lemon curd and whipped cream mixture.', 'Transfer the mousse into serving cups and chill before serving.']",https://www.tasteatlas.com/mousse-au-citron/recipe,https://www.tasteatlas.com/images/recipes/037862cec7b84a7c9768e665f97e5ed6.jpg?mw=910
Kir Royale,-,"France, Europe",5,"['9 cl Champagne', '1 cl crème de cassis']",1,3min,-,-,3min,TasteAtlas,"['Add first the crème de cassis to a white wine glass, then top with Champagne.']",https://www.tasteatlas.com/kir-royale/recipe,-
