title,description,cuisine,rating,ingredient_list,serving,prep_time,cook_time,source,steps,recipe_url,image_url,kcal,fat,saturates,carbs,sugars,fibre,protein,salt
Cajun chicken gumbo,"An authentic Louisiana casserole with Creole spices, veggies, ham and a rich sauce - a one pot-with bite",,118 ratings,"['4 tbsp olive oil', '5 skinless chicken breasts, cut into chunky pieces', '1 onion, chopped', '2 celery sticks, sliced', '3 bay leaves', '5 tbsp plain flour', '4 tsp Cajun spice mix (or 1 each paprika, ground cumin, ground chilli and dried basil)', '600ml chicken stock (made with 2 stock cubes)', '2 green peppers, deseeded and cut into chunks', '300g thickly sliced ham, trimmed of any fat and diced', '3 spring onions, sliced', '2 tbsp very roughly chopped parsley']",Serves 6,20 mins,45 mins,BBC Food,"['Heat 1 tbsp of the oil in a wide casserole or big frying pan and fry the chicken for a few mins to brown. Tip out onto a plate. Add the onion to the pan with 1 tbsp more oil and fry for 5 mins until almost softened. Add the celery and fry for another 2 mins, then tip out to join the chicken. Add the remaining oil, bay leaves and flour to the pan and cook into a paste. Carry on cooking, stirring constantly (with a splash of water if you need), until golden brown, then stir in the spices for 2 mins.', 'Gradually stir in the stock until smooth and saucy. Return the chicken and veg to the pan, along with the peppers, cover and simmer gently for 15 mins. Stir in the ham, cover and simmer gently for 10 mins more. Check for seasoning, then serve, sprinkled with the spring onions mixed with the chopped parsley.']",https://www.bbcgoodfood.com/recipes/cajun-chicken-gumbo,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-946467_10-83f2ec0.jpg?quality=90&resize=440,400",315,11.3g,2g,16.5g,315,11.3g,2g,16.5g
Meatball stroganoff,"Transform beef mince into a comforting Russian-style meatball stew with mushrooms, paprika and soured cream",,61 ratings,"['500g beef mince', 'drizzle of oil', '1 red onion, sliced', '2 garlic cloves, crushed', '200g pack small button mushrooms, sliced', '2 tbsp tomato purée', '1 tbsp sweet paprika', '1 tbsp plain flour', '1 beef stock cube, made up to 300ml stock', '150ml pot soured cream', 'small pack parsley, chopped', 'rice, mashed potato or tagliatelle, to serve']",Serves 4,15 mins,30 mins,BBC Food,"['Season the beef and shape into walnut-sized meatballs. Heat the oil in a pan and cook the meatballs until brown on all sides. Scoop out of the pan and set aside. Add the onion to the pan and cook for a few mins to soften. Add the garlic and mushrooms, and fry for a few mins until the mushrooms soften and start to brown a little. Stir in the tomato purée, paprika and flour for 1 min, then add the stock, bit by bit, to make a smooth sauce. Return the meatballs to the pan, cover and simmer gently for 15 mins or until the meatballs are cooked through.', 'Stir in the soured cream and most of the parsley, and season to taste. Serve scattered with the remaining parsley, with rice, mashed potato or tagliatelle.']",https://www.bbcgoodfood.com/recipes/meatball-stroganoff,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/meatball-stroganoff-f01ae1c.jpg?quality=90&resize=440,400",425,29g,14g,10g,425,29g,14g,10g
Pork stroganoff,"Enjoy our stroganoff for a casual dinner party main. A great go-to dish, we've made it with pork and added Dijon mustard and extra mushrooms for more oomph",,23 ratings,"['3 tbsp sunflower oil', '500g chestnut mushrooms, sliced', '400g pork fillet, cut into 1cm pieces', '2 onions, sliced into half moons', '1 tbsp smoked paprika', '2tsp Dijon mustard', '200ml pork or chicken stock', '284ml or 300ml pot soured cream', '2 tbsp chopped parsley', 'cooked rice, potatoes or tagliatelle, to serve']",Serves 4,15 mins,35 mins,BBC Food,"['Heat 2 tsp of the oil in a large frying pan over a medium heat and fry half the mushrooms for a few minutes until their liquid is released and evaporates. Remove from the pan and set aside, then repeat with the remaining mushrooms and another 2 tsp oil. Set aside. In the same pan, fry the pork for 5-8 mins in 2 tsp oil until browned. Set aside.', 'Fry the onions in the remaining 1 tbsp oil over a low-medium heat until beginning to caramelise, around 10-12 mins, then tip the mushrooms back in along with the pork. Sprinkle over the paprika and spoon in the Dijon mustard. Give everything a good mix to combine. Pour in the stock, season well with salt and pepper, then mix again. At this point, you can remove from the heat, leave to cool, then cover and chill. Will keep chilled for three days or frozen for up to three months. When ready to serve, defrost fully before bringing to a simmer and continuing with the recipe.', 'Stir through the soured cream. Cook for about 2 mins more to ensure the meat is piping hot, then scatter over the chopped parsley. Serve with rice, potatoes or tagliatelle, if you like.']",https://www.bbcgoodfood.com/recipes/pork-stroganoff,"https://images.immediate.co.uk/production/volatile/sites/30/2022/09/Pork-Stroganoff-15d4d7a.jpg?quality=90&resize=556,505",402,27g,12g,8g,402,27g,12g,8g
Spicy bean & avocado tostados,Get the kids involved in making this easy veggie Mexican buffet with healthy beans and avocado,,13 ratings,"['4 flour tortillas', '400g can refried beans', 'big pinch cayenne pepper', '200g can kidney beans in water, rinsed', '2 handfuls cherry tomatoes, quartered', '50g cheddar', '1 green chilli, thinly sliced', '1 avocado, halved, stoned and sliced', 'handful coriander leaves, to serve']",Serves 4,10 mins,5 mins,BBC Food,"['Heat grill to medium-high. Put 2 tortillas onto a large baking sheet, then grill for 2 mins. In a bowl, mix the refried beans, cayenne pepper, kidney beans and cherry tomatoes, then divide half the mix between the tortillas. Scatter with half of the cheese and half of the sliced chilli, then grill again until the cheese melts. Lift onto plates and top with half of the avocado and coriander to serve. Repeat with the remaining tortillas.']",https://www.bbcgoodfood.com/recipes/spicy-bean-avocado-tostados,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-6374_11-602983f.jpg?quality=90&resize=440,400",355,4g,4g,43g,355,4g,4g,43g
Spiced lamb chops & herb salad,"Marinated with garlic, lemon and North African spice blend ras el hanout, these lamb chops are served with a light herb and pomegranate salad",,1 rating,"['4 lamb chops', '1 ½ tsp ras el hanout', '1 garlic clove, crushed', '1 tbsp olive oil', 'zest and juice 0.5 lemon', 'small pack parsley, roughly chopped', '0.5 small pack mint, leaves picked and roughly chopped', '½ red onion, finely chopped', '50g pomegranate seeds', '2 heaped tbsp houmous, from a tub', 'warm toasted pitta bread, rubbed with a halved garlic clove, to serve']",Serves 2,15 mins,8 mins,BBC Food,"['Put the lamb chops in a large bowl. Add the ras el hanout, garlic, oil, most of the lemon juice and some seasoning. Toss everything together and set aside for at least 15 mins.', 'Combine the herbs, onion, pomegranate seeds and lemon zest in a bowl. Season and set aside. Heat a griddle or grill until very hot and cook the lamb chops for 3-4 mins each side, until cooked but still pink and juicy on the inside, then leave to rest for a few mins. Serve the chops with the salad, houmous and pitta, and squeeze over the remaining lemon juice.']",https://www.bbcgoodfood.com/recipes/spiced-lamb-chops-herb-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/spiced-lamb-chops-herb-salad-2645be1.jpg?quality=90&resize=440,400",587,41g,16g,12g,587,41g,16g,12g
Christmas pudding ice cream,"Impress your guests with this showstopping Christmas dessert, which can be made up to one month ahead",,19 ratings,"['85g raisins', '85g sultanas', '85g pack dried cherries', '100g fresh or frozen cranberries', '6 tbsp brandy', '2 tbsp dark muscovado sugar', '2 cinnamon sticks, snapped in half', '¼ tsp ground ginger', '½ tsp freshly grated nutmeg', '¼ tsp caraway seeds', '4 cloves', '600ml pot double cream', '1 vanilla pod, split and seeds scraped out', '3 large egg yolks', '100g golden caster sugar', 'oil, for greasing the bowl', '6 ginger nut biscuits, broken into chunks', 'zest ½ lemon and ½ an orange', '85g caster sugar', '2 tbsp brandy', '100g fresh or frozen cranberries']",Serves 8,15 mins,15 mins,BBC Food,"['Mix all of the boozy fruit ingredients together in a bowl, then microwave on High for 3 mins. Stir, then leave to cool completely, ideally overnight.', 'For the ice cream, put the spices in a saucepan and gently heat for 3 mins or so, stirring once or twice, until fragrant. Tip in the cream and vanilla seeds, and bring to the boil. Meanwhile, whisk the yolks and sugar together. Whisk the hot cream into the egg mix, then tip the mix into a clean pan and gently heat for 5-10 mins until it coats the back of a wooden spoon. Pour everything into a bowl or plastic container and leave to cool completely. If possible, chill it overnight as this will infuse the ice cream with a stronger Christmassy spice flavour.', 'Pass the mix through a sieve into another container, then freeze for 5 hrs, stirring in the frozen edges with a fork every hour until you have a smooth, thick mix. Oil a 1.4 or 1.2-litre pudding basin and line with cling film.', 'Drain the boozy fruit in a sieve, mix the fruit with the ginger nuts and zests, then quickly stir into the ice cream. Tip into the basin, cover the surface with cling film, then freeze for at least 6 hrs.', 'For the topping, put everything into a small pan, gently heat until the sugar dissolves, then simmer for 2 mins. Cool completely. To turn the pudding out, let it sit at room temperature for about 15 mins, then turn onto a plate. Ease the cling film away. Spoon the cranberries and syrup over to serve.']",https://www.bbcgoodfood.com/recipes/christmas-pudding-ice-cream-0,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-80528_11-6acf5af.jpg?quality=90&resize=440,400",675,45g,24g,61g,675,45g,24g,61g
Quick prawn cocktail salad,"A seafood pot to whip up in a flash - the lettuce, avocado and tomatoes provide three of your 5-a-day",,0 ratings,"['¼ romaine lettuce, torn into pieces', '1 large avocado, stoned, peeled and sliced', '8 cherry tomatoes, halved', '1 shallot, thinly sliced', '200g tub prawn cocktail']",Serves 2,5 mins,-,BBC Food,"['Pile the lettuce, avocado, tomatoes and shallot into a bowl and toss together. Divide between 2 serving bowls, then top with the prawn cocktail. Lightly toss to mix the dressing into the salad, then eat with toast or crusty bread, if you like.']",https://www.bbcgoodfood.com/recipes/prawn-cocktail-salad-0,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1308464_3-e2ad19c.jpg?quality=90&resize=440,400",563,53g,7g,8g,563,53g,7g,8g
Vegan vanilla cupcakes,Bake these vegan versions of vanilla cupcakes for a sweet treat. They're ideal served with a cuppa for a mid-morning treat or for afternoon tea,,2 ratings,"['50ml rapeseed oil', '1 tsp cider vinegar', '200ml plant milk (we used oat)', '225g self-raising flour', '½ tsp baking powder', '150g golden caster sugar', '2 tsp vanilla paste', '200g vegan plant butter block, softened', '2 tsp vanilla paste', '400g icing sugar']",Serves 12,25 mins,20 mins,BBC Food,"['Combine the rapeseed oil, cider vinegar and oat milk in a jug. Heat the oven to 180C/160C fan/gas 4. Line a 12-hole cupcake or muffin tray with paper cases. Tip the flour, baking powder and sugar into a large bowl. Make a well in the middle and slowly pour in the wet mixture, whisking constantly. Add the vanilla paste and stir to combine. Divide evenly between the paper cases and bake for 15-20 mins until golden and a skewer inserted into the middle of a cupcake comes out clean. Transfer to a cooling rack to cool completely.', 'For the icing, beat the plant block and vanilla until soft and creamy, around 2 mins. Add the icing sugar in batches, beating well after each addition, and a large pinch of salt. Transfer to a piping bag fitted with a star nozzle. Pipe swirls on top of each cooled cupcake. Will keep, iced, for up to three days in an airtight container.']",https://www.bbcgoodfood.com/recipes/vegan-vanilla-cupcakes,"https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Vegan-Vanilla-Cupcakes-f5c67f8.jpg?quality=90&resize=556,505",419,18g,8g,62g,419,18g,8g,62g
Caramel chocolate log,This fabulous gluten-free cake has a festive spiced cream and dulce de leche filling - drizzle with white chocolate for an extra-special end to a Christmas dinner party,,7 ratings,"['butter, for greasing', '4 large eggs', '125g golden caster sugar, plus extra for sprinkling', '25g cocoa powder', '50g oat flour (check the label to ensure it’s gluten-free)', '100g dulce de leche (or Carnation caramel)', 'icing sugar, for dusting', '50g white chocolate (check the label to ensure it’s gluten-free), melted', '400ml double cream', '2 tbsp light brown soft sugar', '½ tsp ground ginger', '½ tsp ground cinnamon', '¼ tsp ground cardamom (the seeds from 3 pods, crushed)']",Serves 8 - 10,50 mins,20 mins,BBC Food,"['Lightly grease a 26 x 36cm baking tray with a substantial rim and line with baking parchment. Heat oven to 180C/160C fan/gas 4.', 'To make the filling, put all the ingredients in a small saucepan and bring to the boil over a medium heat, whisking to dissolve the sugar and prevent lumps. Pour into a small container, cover with cling film and place in the fridge for a few hrs or until fully chilled.', 'Put the eggs and caster sugar in a large bowl and use an electric whisk to whisk for 5-8 mins or until the mixture has tripled in volume and holds a ribbon on the surface when the beaters are lifted from the bowl. In a separate bowl, mix together the cocoa powder, oat flour and a pinch of salt. Working in three additions, carefully sieve the dry ingredients over the egg mixture and carefully fold in, keeping the mixture light and airy. Carefully pour the batter onto the prepared tray and gently level out to an even layer.', 'Bake for 12-14 mins or until the cake springs back when lightly pressed. Remove from the oven and carefully slip the cake and parchment onto a wire rack to cool (unlike other roll cakes, this one isn’t pre-rolled as it is more likely to crack).', 'Once the cake is at room temperature, confidently turn over in one motion onto a piece of parchment sprinkled lightly with caster sugar, then peel off the lining parchment.', 'Whisk the spiced cream filling until it holds soft peaks, then spread to an even layer, leaving 2cm along the short edge clear. Spoon the dulce de leche randomly all over the filling and use a knife or a spoon to swirl together.', 'Carefully roll the cake, using the parchment underneath to help, making sure the uncovered sponge edge is at the end of the roll. Don’t worry if the cake splits a little, this is to be expected. Dust the cake with a thin layer of icing sugar and carefully lift onto a serving plate. To finish, drizzle the cake with the white chocolate. As this cake is made with very little fat, it is best served on the day it is made, as it will dry out more quickly.']",https://www.bbcgoodfood.com/recipes/caramel-chocolate-log,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/caramel-chocolate-log-3c9e19d.jpg?quality=90&resize=440,400",385,27g,16g,29g,385,27g,16g,29g
Carrot & parsnip soup,Create a batch of creamy parsnip and carrot soup for a warming lunch or supper. Serve with crusty bread and freeze any leftovers you have for busy days,,53 ratings,"['½ tbsp olive oil', '2 onions, finely chopped', '2 celery sticks, finely chopped', '2 garlic cloves, crushed', '½ small bunch thyme, leaves picked', '3 large carrots, peeled and roughly chopped', '2 large parsnips, peeled and roughly chopped', '1 litre vegetable stock', '100ml double cream', '¼ bunch parsley, finely chopped (optional)']",Serves 4 - 6,20 mins,35 mins,BBC Food,"['Heat the oil in a large saucepan and fry the onion and celery for 10 mins, stirring occasionally until softened. If they start to catch, add a small splash of water. Add the garlic, thyme and ½ tsp black pepper and cook for 2 mins. Add the carrots, parsnips and stock and bring to the boil. Reduce to a simmer and cook for 20 mins until the vegetables are soft, stirring occasionally.', 'Blend using a stick blender until smooth. Add the cream and blitz again until combined, then taste for seasoning. To serve, ladle into bowls and scatter over a little chopped parsley, if you like.']",https://www.bbcgoodfood.com/recipes/carrot-parsnip-soup,"https://images.immediate.co.uk/production/volatile/sites/30/2021/02/Carrot-and-parsnip-soup-0691bd0.jpg?quality=90&resize=556,505",190,11g,6g,16g,190,11g,6g,16g
Fruit scones,Make these easy fruit scones in just 15 minutes. They're perfect for an elegant afternoon tea or a sweet weekend treat. Serve with jam and clotted cream,,342 ratings,"['350g self-raising flour, plus more for dusting', '¼ tsp salt', '1 tsp baking powder', '85g butter, cut into cubes', '3 tbsp caster sugar', '175ml milk', '1 tsp vanilla extract', 'squeeze of lemon juice', '100g sultanas', 'beaten egg to glaze', 'jam and clotted cream, to serve']",Serves 8,5 mins,-,BBC Food,"['Heat oven to 220C/200C fan/gas 7. Tip the flour into a large bowl with the salt and baking powder, then mix. Add the butter, then rub in with your fingers until the mix looks like fine crumbs. Stir in the sugar.', 'Put the milk into a jug and heat in the microwave for about 30 secs until warm, but not hot. Add the vanilla and lemon juice, then set aside for a moment. Put a baking sheet in the oven.', 'Make a well in the dry mix, then add the liquid and sultanas and combine it quickly with a cutlery knife – it will seem pretty wet at first. Scatter some flour onto the work surface and tip the dough out. Dredge the dough and your hands with a little more flour, then fold the dough over 2-3 times until it’s a little smoother. Pat into a round about 4cm deep.', 'Take a 5cm cutter (smooth-edged cutters tend to cut more cleanly, giving a better rise) and dip it into some flour. Plunge into the dough, then repeat until you have four scones. You may need to press what’s left of the dough back into a round to cut out another four.', 'Brush the tops with beaten egg, then carefully place onto the hot baking tray.', 'Bake for 10 mins until risen and golden on the top. Eat just warm or cold on the day of baking, generously topped with jam and clotted cream. If freezing, freeze once cool. Defrost, then put in a low oven (about 160C/140C fan/gas 3) for a few mins to refresh.']",https://www.bbcgoodfood.com/recipes/fruit-scones,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/fruit-scones-82fc434.jpg?quality=90&resize=440,400",327,11g,6g,50g,327,11g,6g,50g
Rice noodle & turkey salad with lime-chilli dressing,"Lean turkey mince is low in fat - serve with noodles, vegetables, herbs and a Vietnamese-style vinaigrette for a low-calorie lunch",,10 ratings,"['100g dried thin rice noodle', '1 red chilli, seeds removed, thinly sliced', '2 carrots, shredded', '1 small red onion, thinly sliced into half moons', 'handful coriander leaves, roughly chopped', 'handful mint leaves, roughly chopped', 'cooking oil spray', '500g turkey mince', '2 tbsp fish sauce', '2 tbsp light brown sugar', 'juice 4 limes', '1 garlic clove, crushed']",Serves 4,20 mins,10 mins,BBC Food,"['Pour boiling water over the noodles and allow to sit for 5 mins. Drain, rinse under cold water and put in a large bowl, along with the chilli, carrots, onion and herbs.', 'To make the lime-chilli dressing, mix all the ingredients together in a small bowl or a screw-top jar.', 'Heat a non-stick frying pan or wok over a high heat until extremely hot. Lightly coat with oil and fry the turkey until nicely browned, breaking into chunks as you go. Add the noodle mixture, pour the dressing over the salad and mix well.']",https://www.bbcgoodfood.com/recipes/rice-noodle-turkey-salad-lime-chilli-dressing,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1255490_9-beca322.jpg?quality=90&resize=440,400",298,2g,1g,36g,298,2g,1g,36g
Vegan waffles,Make these easy plant-based waffles for a weekend breakfast or brunch,,3 ratings,"['500g plain flour', '2tbsp baking powder', '125g vegan butter, plus extra for the waffle iron', '125g caster sugar', '250ml soy milk']",makes 10-12 waffles,5 mins,30 mins,BBC Food,"['Mix the flour and baking powder with ½ tsp salt in a bowl. Mix the vegan butter with the caster sugar in a separate bowl. Combine the soy milk with 175 ml water in a jug. Pour this gradually into the dry ingredients, continually stirring, then add the butter and sugar mixture and keep stirring to form a smooth batter. Add a little more water or soy milk if the mixture is very thick – you should be able to spoon it out. Heat the waffle iron. Butter both sides of the waffle iron.', 'Spoon about 3 tbsp of the batter into the hot waffle iron, close and cook for 4-6 mins until golden brown (the time will vary depending on your waffle iron). Remove the finished waffle and cook the rest of the batter in the same way. The dough makes about 10-12 vegan waffles. Serve straightaway with your favourite toppings.']",https://www.bbcgoodfood.com/recipes/vegan-waffles,"https://images.immediate.co.uk/production/volatile/sites/30/2022/09/Vegane-Waffeln-54dccb8.jpg?quality=90&resize=556,505",280,9g,5g,43g,280,9g,5g,43g
"Spinach, bacon & white bean salad","A low-calorie dish with contrasting flavours of salty, crispy bacon and sweet red peppers",,2 ratings,"['12 rashers streaky bacon', '4 tbsp sherry vinegar', '2 x 280g jar roasted red peppers, drained and sliced', '2 x 400g cans borlotti beans, drained and rinsed', '150g bag baby spinach leaves']",Serves 4,5 mins,15 mins,BBC Food,"['Heat a large pan and dry-fry the bacon for about 2 mins each side until crispy. Remove and drain on kitchen paper. Keep the fat from the bacon in the pan, add the vinegar and bubble for a few secs before tipping in the peppers and beans. Season and heat through. Toss together the spinach, beans, peppers and bacon, then drizzle with a dressing of your choice.']",https://www.bbcgoodfood.com/recipes/spinach-bacon-white-bean-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-984464_11-826aeb7.jpg?quality=90&resize=440,400",300,15g,5g,19g,300,15g,5g,19g
Toffee apple crumble,"This comforting autumnal crumble has it all – circles of apple, buttery brown sugar, plump fruit and spice, all baked under a nutty oat topping",,16 ratings,"['100g raisin', '100g pitted soft dates, snipped into small pieces with scissors', '85g light muscovado sugar', '3 tbsp dark rum (or use orange juice)', '25g unsalted butter', '1 tsp mixed spice', 'zest and juice 1 lemon', '4 Bramley apples, about 800g, peeled, cored and cut into 1cm rings', '125g plain flour', '100g unsalted butter', '50g light muscovado sugar', '3 tbsp jumbo oats', '25g flaked almond (or use other nuts if you like)', 'custard or ice cream, to serve']",Serves 6,20 mins,1 hr,BBC Food,"['Heat oven to 190C/170C fan/gas 5. Put everything for the apple layer, except the lemon juice and apples, into a bowl and microwave on High for 1½ mins until the butter has melted and the sugar is syrupy. Toss in the apples and lemon juice, then spoon into a medium baking dish, making sure the dried fruit is evenly distributed.', 'Rub the flour and butter together, first into fine crumbs, then keep going until the mix forms bigger clumps, a bit like a rough biscuit dough. Stir in the sugar, oats and almonds. Scatter over the fruit, then cover with foil and bake for 1 hr, removing the foil for the final 30 mins, until golden and bubbling. Rest for 10 mins, then serve with custard or ice cream.']",https://www.bbcgoodfood.com/recipes/baked-apple-toffee-crumble,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/apple-crumble-0e64371.jpg?quality=90&resize=440,400",485,20g,11g,67g,485,20g,11g,67g
Salmon picnic platter,"A combination of cooked and smoked salmon, hot-smoked salmon, stuffed eggs and cucumber, yogurt and dill salad makes the ideal al fresco sharer for friends",,6 ratings,"['4 eggs', '2-3 tbsp mayonnaise', 'a little cayenne pepper', '200g cooked salmon', '100g hot-smoked salmon', '6 small rolls, halved', '3 tbsp cream cheese', '100g smoked salmon', '1 lemon, 1/2 zested and 1/2 cut into wedges', '½ cucumber', '2 tbsp Greek yogurt', '1 tbsp chopped dill or chives', 'bread, soft rolls or wraps, to serve']",Serves 6-8,30 mins,8 mins,BBC Food,"['Hard boil the eggs by cooking them in boiling water for 8 mins, then cool quickly under cold running water and peel. Halve the eggs and pop the yolks into a bowl. Mash the yolks with the mayonnaise, cayenne pepper and some seasoning. Spoon or pipe the mixture back into the egg halves and chill until you need them.', 'Flake the cooked salmon into large chunks and put it on a platter with the hot-smoked salmon and the eggs.', 'Spread the bottom half of the rolls with cream cheese, then add the smoked salmon and a squeeze of lemon juice and top with the other half of the roll. Cut each one in half.', 'Peel and slice the cucumber. Mix the yogurt with the dill, lemon zest and some seasoning, then stir in the cucumber. Pile the mixture into the centre of the platter. Serve with extra bread, rolls or wraps and lemon wedges.']",https://www.bbcgoodfood.com/recipes/salmon-picnic-platter,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/salmon-picnic-platter-group-73b3df7.jpg?quality=90&resize=440,400",398,24g,6g,23g,398,24g,6g,23g
Air-fryer fish & chips,"Use your air-fryer to make this British classic. Choose white fish such as cod, haddock or basa, and serve with mushy peas and tartar sauce",,4 ratings,"['60g cornflour', '1 tsp smoked paprika', '½ tsp dried mixed herbs', '2 white fish fillets, such as cod, haddock or basa', '3 medium potatoes, such as Desirée or Maris Piper', '6-8 tbsp vegetable oil', 'mushy peas and tartar sauce, to serve (optional)']",Serves 2,10 mins,10 mins,BBC Food,"['Mix together the cornflour, paprika and mixed herbs with 1 tsp salt and ¼ tsp freshly ground black pepper and spread out on a large dinner plate. Coat the fish fillets in the flour mixture on both sides. If you prefer to cook on the hob, see tip below – the fish fillets are now ready to fry.', 'Cut the potatoes into 1cm-thick chips using a large, sharp knife . Leave the skin on, or peel them, if you like.', 'Put the chips in a large mixing bowl, then add 2 tbsp of the vegetable oil and a good pinch of salt and pepper. Toss until well coated. Set the air-fryer to 200C and cook the chips for around 18-22 mins, turning halfway (or shake the air-fryer basket) until crisp and cooked. Alternatively, you can cook them in the oven (see tip, below). Keep warm while you cook the fish or cook it in the second air-fryer basket, if you have one.', 'Spread 4 tbsp of the vegetable oil out on a large dinner plate and dredge the coated fish in the oil to cover. Set the air-fryer to 200C and cook for 8-10 mins (depending on the size of your fish fillets), carefully turning halfway. Serve with mushy peas and tartar sauce, if you like. If freezing the fish and chips, defrost fully in the fridge, then reheat in the oven until piping hot.']",https://www.bbcgoodfood.com/recipes/air-fryer-fish-chips,"https://images.immediate.co.uk/production/volatile/sites/30/2024/02/Air-Fryer-Lightly-Dusted-Fish-and-Chips-80bd55e.jpg?quality=90&resize=556,505",654,34g,3g,59g,654,34g,3g,59g
Puy lentil salad with beetroot & walnuts,Walnuts make a tasty addition to this vegan salad and are a source of plant compounds called polyphenols which guard against inflammation,,7 ratings,"['½ the lentil base from the puy lentils with salmon (recipe below)', '2 cooked beetroots (160g), halved and sliced', '8 walnut halves, roughly chopped', '4 tbsp mint, roughly chopped', '2 handfuls of rocket', 'balsamic vinegar, for drizzling']",Serves 2,5 mins,-,BBC Food,"['Tip half of the leftover lentil base from our seared salmon recipe into two bowls or lunch containers and top with the beetroot, walnuts, mint and rocket.', 'Just before eating, drizzle with the balsamic vinegar and toss together.']",https://www.bbcgoodfood.com/recipes/puy-lentil-salad-with-beetroot-walnuts,"https://images.immediate.co.uk/production/volatile/sites/30/2023/12/Puy-lentil-salad-with-beetroot-and-walnuts-1e90335.jpg?quality=90&resize=556,505",495,27g,3g,38g,495,27g,3g,38g
Chocolate fridge cake,"Sophisticated and intensely chocolatey with a hit of juicy raisins and crunchy biscuit pieces, serve this decadent chocolate fridge cake as a teatime treat",,8 ratings,"['1 mugful mixed dried fruit (about 225g)', '½ mugful brandy or juice (about 110ml)', '300g dark chocolate (70% cocoa solids)', '½ pack butter (about 125g, salted or unsalted), plus extra for the tin', '3 tbsp golden syrup', '13 digestive biscuits (about 200g)', '100g pack toasted flaked almonds or roasted hazelnuts, chopped (see tip, below)']",Makes 16 generous squares,20 mins,-,BBC Food,"['Put the dried fruit in a small bowl and pour in just enough brandy or juice to cover. Microwave for 2 mins until steaming, then set aside.', 'The non-messy way to chop chocolate is to smash it (still wrapped) onto your work surface, then unwrap it down to the foil and snap it (still in foil) into small bits using your fingers. Empty the chocolate into a microwaveable bowl. Add the butter and golden syrup, cover the bowl with cling film and microwave for 2 mins until melted. Set aside.', 'Meanwhile, line a 20cm square tin with baking parchment, using a little butter to stick it in place. (You can also use foil but it’s more fiddly to peel off later, or cling film if you don’t mind wrinkles on the underside of your cake.)', 'Take a third, large bowl. Use your fingers to break the biscuits into it. Stir in the nuts, soaked fruit and soaking liquid, then mix everything together. Pour the melted chocolate into the bowl with the biscuits, using a spatula or spoon to scrape out every last bit of chocolate. Mix together until everything is coated in chocolate.', 'Check the ingredients list to make sure everything is accounted for (it’s surprisingly easy to miss something in this recipe), then tip the chocolate mixture into the tin, pushing well into corners and flattening the top. Put in the fridge (no need to cover) for 4 hrs or overnight until set. To serve, remove from tin, peel away the parchment and cut into 16 squares (any crumbly bits that fall off make tasty samples for the cook). Will keep for up to 1 week in an airtight container in the fridge. Can be frozen for up to 1 month.']",https://www.bbcgoodfood.com/recipes/chocolate-fridge-cake,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chocolate-fridge-cake-extraordinaire_-7a8e5b9.jpg?quality=90&resize=440,400",331,21g,10g,27g,331,21g,10g,27g
