title,description,cuisine,rating,ingredient_list,serving,prep_time,cook_time,total_time,source,steps,nutrients,recipe_url,image_url
Easy Chicken Curry,"Recipe video above. This is a Western style curry, and it's the easiest chicken curry I know how to make with the least ingredients possible without sacrificing tastiness! Very mild, not spicy at all (assuming curry powder is mild).",Western,4.89 from 182 votes,"['1.5 tbsp oil (vegetable, canola)', '2 garlic cloves , minced', '2 tsp ginger , grated', '1/2 onion , finely chopped', '500g / 1lb chicken thighs, sliced (Note 1)', '2.5 tbsp curry powder (Note 2)', '270 ml / 1.25 cups coconut milk , full fat (9 oz) (Note 3)', '1.5 cups (375 ml) chicken stock low sodium', '1/2 tsp salt', '3/4 cup frozen peas', '1/4 cup coriander / cilantro leaves , chopped']",-,8 minutes ,20 minutes ,28 minutes ,RecipeTinEats,"['Heat oil in a skillet over medium high heat. Cook garlic, ginger and onion for 3 minutes until onion is translucent.', 'Add chicken and cook until it it changes from pink to white.', 'Add curry powder and cook for 2 minutes.', 'Add coconut milk and chicken stock. Stir, lower heat to medium and cook, simmering rapidly, for 10 minutes until sauce reduces and thickens.', 'Add peas and salt. Cook for a further 2 minutes, then taste to see if it needs more salt. Garnish with coriander.', 'Serve over rice, noodles or mashed potato!']","[['Calories', '383cal (19%)'], ['Carbohydrates', '10g (3%)'], ['Protein', '29g (58%)'], ['Fat', '25g (38%)'], ['Saturated Fat', '14g (88%)'], ['Cholesterol', '118mg (39%)'], ['Sodium', '295mg (13%)'], ['Potassium', '665mg (19%)'], ['Fiber', '2g (8%)'], ['Sugar', '2g (2%)'], ['Vitamin A', '270IU (5%)'], ['Vitamin C', '13.4mg (16%)'], ['Calcium', '55mg (6%)'], ['Iron', '4.8mg (27%)']]","https://www.recipetineats.com/chicken-curry/
",https://www.recipetineats.com/tachyon/2019/03/Best-easy-Chicken-Curry_5.jpg
Asian Mushroom Ramen Noodles,"Recipe video above. A quick Asian ramen noodle side dish with caramelised garlic mushrooms with a hint of sesame! Don't let this 4 ingredient sauce fool you - once it hits the pan, it completely transforms. 4 as a side, 2 as a main (add more veggies!)",Asian,4.99 from 56 votes,"['2 packets ramen or other instant noodles , uncooked, discard seasoning (Note 1)', '1.5 tbsp vegetable oil (or other neutral flavoured oil)', '400g / 14 oz mushrooms , sliced (any type)', '2 garlic cloves , minced', '2 tsp sesame oil (or more oil) (Note 2)', '5 green onion stems (shallots/scallions)', '1 1/4 cups (315 ml) water, plus more as needed', '1 tbsp dark soy sauce (Note 3)', '1 tbsp Oyster sauce (or Hoisin, Note 4)', '2 tsp Hoisin sauce (or more Oyster sauce)', '1 tbsp mirin (Note 5)']",-,5 minutes ,10 minutes ,15 minutes ,RecipeTinEats,"['Mix Sauce ingredients in a small bowl.', 'Cut green onion into 5cm/2"" lengths. Separate white/pale green part from green part.', 'Heat oil in a large skillet over high heat. Add mushrooms and cook for 3 minutes.', 'Add the garlic and sesame oil, cook until mushrooms and garlic are golden.', 'Add Sauce, give it a quick stir. Add white part of green onions. Cook 1 minute until mushrooms are caramelised.', 'Push mushrooms to the side to make a big well in the centre.', 'Add water then squidge noodle cakes in.', 'Cook 45 seconds, then flip. Cook 30 seconds then break up the noodles.', 'Add green part of green onions and toss well, adding more water if needed to make it saucy.', 'Serve immediately!']","[['Calories', '289cal (14%)'], ['Carbohydrates', '34g (11%)'], ['Protein', '8g (16%)'], ['Fat', '14g (22%)'], ['Saturated Fat', '7g (44%)'], ['Potassium', '368mg (11%)'], ['Fiber', '1g (4%)'], ['Sugar', '3g (3%)'], ['Vitamin A', '150IU (3%)'], ['Vitamin C', '5.4mg (7%)'], ['Calcium', '17mg (2%)'], ['Iron', '0.8mg (4%)']]","https://www.recipetineats.com/asian-mushroom-ramen-noodle-recipe/
",https://www.recipetineats.com/tachyon/2019/03/Mushroom-Ramen-Noodles_3.jpg
Oven Baked Chicken Breast,"Recipe VIDEO above. My tips for a truly juicy, Oven Baked Chicken Breast: a touch of brown sugar in the seasoning which makes the chicken sweat while it bakes so it creates a semi ""sauce"", and cooking fast on a high temp! Go by the colour of the crust to know when it's cooked through. ",Western,4.99 from 2176 votes,"['4 chicken breasts , 150 – 180g / 5 – 6 oz each (Note 1)', '2 tsp olive oil', '1 1/2 tbsp brown sugar', '1 tsp paprika', '1 tsp dried oregano or thyme , or other herb of choice', '1/4 tsp garlic powder', '1/2 tsp each salt and pepper', 'Finely chopped parsley']",-,5 minutes ,18 minutes ,23 minutes ,RecipeTinEats,"['Preheat oven to 425°F/220°C (200°C fan).', 'Pound chicken to 1.5cm / 0.6″ at the thickest part – using a rolling pin, meat mallet or even your fist (key tip for even cooking + tender chicken).', 'Mix Seasoning.', 'Line tray with foil and baking / parchment paper. Place chicken upside down on tray. Drizzle chicken with about 1 tsp oil. Rub over with fingers. Sprinkle with Seasoning.', 'Flip chicken. Drizzle with 1 tsp oil, rub with fingers, sprinkle with Seasoning, covering as much of the surface area as you can.', 'Bake 18 minutes, or until surface is golden per photos and video, or internal temperature is 165°F/75°C using a meat thermometer.', 'Remove from oven and immediately transfer chicken to serving plates.', 'Wait 3 – 5 minutes before serving, garnished with freshly chopped parsley if desired. Pictured with a side of Garlic Butter Rice with Kale.']","[['Carbohydrates', '4g (1%)'], ['Protein', '46g (92%)'], ['Fat', '7g (11%)'], ['Saturated Fat', '1g (6%)'], ['Sodium', '403mg (18%)'], ['Potassium', '397mg (11%)'], ['Sugar', '4g (4%)'], ['Vitamin A', '325IU (7%)'], ['Vitamin C', '1.7mg (2%)'], ['Calcium', '11mg (1%)'], ['Iron', '0.6mg (3%)']]","https://www.recipetineats.com/oven-baked-chicken-breast/
",https://www.recipetineats.com/tachyon/2018/03/Oven-Baked-Chicken-Breast_8-1.jpg
Homemade Sausage and Egg McMuffin,"Recipe video above. This is my copycat of McDonald's Sausage and Egg McMuffin. The sausage patties are made from scratch and it really does taste similar to the McDonald's Sausage patty - but it tastes pure, like real food should! Great make ahead breakfast - grab and run!",Western,4.87 from 99 votes,"['1 lb / 500g ground pork (juicier) OR beef (mince) (Note 1)', '1/2 tsp dried ground sage', '1/2 tsp dried thyme', '1 tsp onion powder (or garlic powder)', '3/4 tsp black pepper', '3/4 tsp salt', '1/2 tsp sugar (any)', '2 tbsp oil', '4 eggs', '4 English muffins , cut in half', '4 slices cheese (Note 3)']",-,10 minutes ,15 minutes ,25 minutes ,RecipeTinEats,"['Remove warm muffins from the oven. Top with sausage, then egg, the lid of muffin.', 'Serve and enjoy!']","[['Carbohydrates', '67.3g (22%)'], ['Protein', '14.6g (29%)'], ['Fat', '14.9g (23%)'], ['Saturated Fat', '5.1g (32%)'], ['Cholesterol', '180mg (60%)'], ['Sodium', '1008mg (44%)'], ['Potassium', '195mg (6%)'], ['Fiber', '2.8g (12%)'], ['Sugar', '4.6g (5%)'], ['Vitamin A', '400IU (8%)'], ['Vitamin C', '1.7mg (2%)'], ['Calcium', '240mg (24%)'], ['Iron', '3.6mg (20%)']]","https://www.recipetineats.com/homemade-sausage-egg-mcmuffin/
",https://www.recipetineats.com/tachyon/2016/05/Sausage-Egg-McMuffins_5.jpg
Crispy Pan Fried Fish,"Recipe video above. 3 key tips to ensure your pan fried fish comes out beautifully golden and crispy every time: pat the fish dry, press flour on well but shake excess off well, and heat the pan first before adding the oil or use a heavy duty non stick pan. With a good fish, well seasoned and crispy skin, I don't need a sauce....but I've added a couple in the notes just in case! 🙂",Western,4.93 from 83 votes,"['2 thin fish fillets, around 150g/5 oz each, 1 cm / 2/5"" thick, skin on or off (Note 1)', 'Salt and pepper', '1/4 cup / 35g flour (plain/all purpose, wholemeal)', '1 tsp paprika , optional (Note 2)', '2 - 3 tbsp oil, enough to mostly thinly cover base (I use vegetable or canola)', 'Lemon wedges', 'Finely chopped parsley or dill , for garnish, optional']",2 servings,3 minutes ,5 minutes ,8 minutes ,RecipeTinEats,"['Use scrunched up paper towels to pat the fish dry on both sides. This is especially important if you are using thawed frozen fish.', 'Season the fish well on both sides with salt and pepper (key!).', 'Mix the flour and paprika on a plate.', 'Coat fish on both sides with flour, pressing down firmly so it adheres, but shake well to remove excess. (Note 2)', 'Heat a heavy based skillet (normal or non stick) over medium high heat until you see wisps of smoke. Add oil and swirl to coat the pan - it will heat within seconds.', 'Add fish - it should sizzle straight away. Shake the pan lightly to move the fish. Cook for 2 minutes until golden and crisp, pressing down gently, then flip. Cook the other side for 2 minutes until crisp then remove.', ""If it's browning too quickly, just remove pan from the stove briefly.  If it's stuck, don't move - it will release naturally once golden."", 'Serve fish immediately with lemon wedges and garnished with dill or parsley, if using. It starts to lose crispiness after 5 minutes.']","[['Calories', '300cal (15%)']]","https://www.recipetineats.com/crispy-pan-fried-fish/
",https://www.recipetineats.com/tachyon/2017/06/Crispy-Pan-Fried-Fish-3-1.jpg
Gozleme!!,"Recipe video above. Crispy Turkish flatbreads stuffed with juicy fillings! Choose ONE Filling – either Spinach and Feta, or spiced Lamb OR Beef with spinach and peppers. Can stretch to 5 gozlemes. Works with GLUTEN FREE flour too!",Turkish,4.96 from 117 votes,"['2.5 cups (375g) flour , plain/all purpose (GF Note 4)', '1/3 cup (85ml) extra virgin olive oil', '3/4 cup (185ml) water', '1/2 tsp salt', '300g / 10oz baby spinach', '2 garlic cloves , minced', '2 eggs', '1 tsp black pepper', '300g / 10 oz Danish feta (soft feta, Note 2)', '2 cups (200g) shredded mozzarella cheese (Note 3)', '1 tbsp olive oil', '2 garlic cloves , minced', '1 onion , finely chopped', '500g / 1 lb beef or lamb mince (ground)', '1 capsicum / bell pepper , chopped', '90g / 3 oz baby spinach', '1.5 tsp cumin powder', '1 tsp paprika', '1/2 tsp cayenne (adjust spiciness to taste)', '3/4 tsp each salt and pepper', '1 tbsp water', '120g / 4 oz Danish feta (Note 2)', '1 – 1.5 tbsp olive oil , per gozleme', 'Lemon wedges (optional)']",-,30 minutes ,20 minutes ,50 minutes ,RecipeTinEats,"['Transfer to cutting board. Cut into 6 or 8 pieces.', 'Serve immediately with lemon wedges, if desired.']","[['Calories', '845cal (42%)'], ['Carbohydrates', '67g (22%)'], ['Protein', '36g (72%)'], ['Fat', '47g (72%)'], ['Saturated Fat', '21g (131%)'], ['Cholesterol', '192mg (64%)'], ['Sodium', '1573mg (68%)'], ['Potassium', '621mg (18%)'], ['Fiber', '3g (13%)'], ['Sugar', '4g (4%)'], ['Vitamin A', '7845IU (157%)'], ['Vitamin C', '21.5mg (26%)'], ['Calcium', '754mg (75%)'], ['Iron', '6.9mg (38%)']]","https://www.recipetineats.com/gozleme/
",https://www.recipetineats.com/tachyon/2019/03/Spinach-Feta-Gozleme.jpg
Cheeseburger Casserole (Homemade Hamburger Helper),"Recipe video above. It's beefy, cheesy and saucy. If you love Cheeseburgers and Mac and Cheese, then you will LOVE this Cheeseburger Casserole! A homemade version of Hamburger Helper, the boxed pasta. One pot, 30 minutes start to finish!","American, Western",4.87 from 90 votes,"['1 tbsp olive oil', '2 garlic cloves , minced', '1 onion, chopped', '1 small carrot * , chopped (optional)', '1 celery stalk * , chopped (optional)', '500 g/ 1 lb ground beef (mince) , preferably lean', '12 oz / 340g dried macaroni , uncooked', '1/2 cup frozen corn * , optional', '2 cups chicken broth/stock, low sodium', '1 tbsp hot sauce or Sriracha sauce , adjust to taste', '1 tsp American chili powder (Note 1)', '1 tsp dried oregano', '1 tsp garlic powder , or sub onion powder', '800 g / 28 oz crushed tomato', '2 tbsp tomato paste', '1 1/4 tsp salt', '1/2 tsp black pepper', '1.5 - 2 cups (150 - 200g) cheddar or tasty cheese, shredded (Note 3)', '1 cup (100g) mozzarella cheese , for topping', '1 green onion , sliced']",-,10 minutes ,20 minutes ,30 minutes ,RecipeTinEats,"['Heat oil in a dutch oven or large deep skillet over medium high heat.', 'Add onion and garlic, cook 1 minute. ', 'Add celery and carrot, cook 3 minutes until soft.', 'Increase heat to high and add beef. Cook, breaking it up as you go, until no longer pink - 3 minutes.', ""Add remaining ingredients EXCEPT cheese. Stir to combine, add macaroni, then turn down to medium or medium low so it's simmering gently."", 'Cover, cook 8 minutes. Pasta should be just about cooked, and still nice and saucy.', 'Add cheddar cheese, stir. Top with mozzarella cheese.', 'Cover with lid, cook for a further 2 minutes. ', 'Remove from stove. The pasta should now be cooked - tender but firm, not mushy, slick with sauce, not dried out.', 'Serve immediately, garnished with green onions, if using.']","[['Carbohydrates', '63.3g (21%)'], ['Protein', '51.5g (103%)'], ['Fat', '25.4g (39%)'], ['Saturated Fat', '12.5g (78%)'], ['Sodium', '748mg (33%)'], ['Fiber', '4.9g (20%)'], ['Sugar', '7.7g (9%)']]","https://www.recipetineats.com/cheeseburger-casserole-homemade-hamburger-helper/
",https://www.recipetineats.com/tachyon/2016/08/Cheeseburger-Casserole_Hamburger-Helper_0.jpg
Schnitzel!,"Recipe VIDEO above. Golden brown and extra crunchy schnitzel. No need to deep fry, just shallow fry it. Make schnitzel with pork, chicken, veal, beef or turkey! These are quite big - about 22 cm/ 9"" long, but they are thin. ","Austrian, German, Western",4.95 from 50 votes,"['600g / 1.2 lb boneless pork (4 steaks / boneless chops, about 150 g/5 oz each)', '600g / 1.2 lb large chicken breasts (2 pieces,300g / 10 oz each)', '600g / 1.2 lb veal or beef steaks (4 pieces, 150g / 5 oz each)', '600g / 1.2 lb turkey breast cutlets (4 pre sliced pieces, 150g / 5 oz each)', 'Salt and pepper', '3/4 cup flour', '2 eggs', '1 1/2 cups panko breadcrumbs (Note 1)', 'Oil for frying (canola, vegetable)']",-,10 minutes ,15 minutes ,25 minutes ,RecipeTinEats,"['Chicken breast prep: cut in half horizontally to create two steaks.', 'Place the protein of choice on a work surface and cover with a sheet of baking paper or cling wrap. Use a rolling pin to pound to even thickness about 0.8 cm / 1/3"" thick (don\'t pound too thin, hard to handle / might tear).', 'Sprinkle both sides of meat with salt and pepper.', 'Place flour in one dish, panko in another (or use a large tray for both like I did, see photos), and whisk eggs in a bowl.', 'Coat meat in flour, shake off excess. Dip into egg, shake off excess. Press into breadcrumbs, and turn, pressing to adhere, then transfer to plate. Repeat.', 'Heat 1.5cm / 3/5"" oil in a heavy based deep skillet over medium high heat.', 'Dip the end of a schnitzel in to check if the oil is hot enough - it should sizzle straight away (see video).', 'Carefully place 2 schnitzels in the oil and cook for 3 minutes until deep golden, turn then cook the other side for 3 minutes.', 'Transfer to a paper towel lined plate to drain excess oil. Repeat with remaining schnitzel. ', 'Serve with lemon wedges - I usually serve schnitzel plain like this. Or see note for Mushroom Gravy recipe. Also see note for potato rosti, pictured in post.']",[],"https://www.recipetineats.com/schnitzel/
",https://www.recipetineats.com/tachyon/2017/08/Schnitzel-11.jpg
Thai Chicken Satay with Peanut Sauce,Recipe video above. Thai Chicken Satay Skewers are tasty enough to eat plain but we’d never skip Thai Peanut Sauce for dipping! The essential ingredient for a really great peanut sauce is natural peanut butter with no added sugar or oil. But normal peanut butter will work fine too.,Thai,4.98 from 396 votes,"['400 g/14oz coconut milk (1 can), full fat', '13-16 bamboo skewers , 16cm / 6.5″ long (Note 1)', '600 g / 1.2lb chicken thighs , boneless skinless, cut into 2cm/4/5″ pieces (Note 2)', '1 tbsp curry powder (Note 3)', '1 tsp white sugar', '2 tsp red curry paste (Note 4)', '1 tsp cooking salt / kosher salt (sub 1/2 tsp table salt)', '2 tbsp red curry paste (Note 4)', '3/4 cup natural peanut butter, smooth (Note 5)', '1/4 cup white sugar', '2 tsp dark soy sauce (Note 6)', '1 tsp cooking salt / kosher salt (sub 1/2 tsp table salt)', '2 tbsp cider vinegar (Note 7)', '3/4 cup water', '2 tbsp peanuts finely chopped', 'Lime wedges (optional)', 'Coriander / cilantro leaves and sliced red chilli (optional)']",-,15 minutes ,15 minutes ,30 minutes ,RecipeTinEats,"['Pour some sauce into a bowl. Sprinkle with some peanuts – stir some through if you want.', 'Pile satay skewers onto a platter, sprinkle with remaining peanuts, coriander and chilli.', 'Serve with sauce on the side for dipping. Add a side of Jasmine Rice or Thai Fried Rice to complete the meal!']","[['Calories', '235cal (12%)'], ['Carbohydrates', '7g (2%)'], ['Protein', '10g (20%)'], ['Fat', '19g (29%)'], ['Saturated Fat', '8g (50%)'], ['Cholesterol', '39mg (13%)'], ['Sodium', '448mg (19%)'], ['Potassium', '230mg (7%)'], ['Fiber', '1g (4%)'], ['Sugar', '5g (6%)'], ['Vitamin A', '455IU (9%)'], ['Vitamin C', '0.5mg (1%)'], ['Calcium', '19mg (2%)'], ['Iron', '1.6mg (9%)']]","https://www.recipetineats.com/thai-chicken-satay-peanut-sauce/
",https://www.recipetineats.com/tachyon/2019/03/Thai-Satay-Chicken_8.jpg
Beef Stroganoff,"RECIPE VIDEO ABOVE. Juicy strips of beef smothered in a sour cream mushroom gravy - a quick dinner everyone will love! KEY STEPS: Sear beef super quickly for maximum juiciness and use a large skillet (for quick sear + fast sauce reduction). Stroganoff calls for good beef but if you only have a budget cut, use this easy Chinese method to tenderise the beef (it's called ""velveting""). It's life changing - and perfect for Stroganoff.","Russian, Western",4.92 from 465 votes,"['600 g / 1.2 lb scotch fillet steak / boneless rib eye (Note 1)', '2 tbsp vegetable oil , divided', '1 large onion (or 2 small onions), sliced', '300 g / 10 oz mushrooms , sliced (not too thin)', '40 g / 3 tbsp butter', '2 tbsp flour (Note 2)', '2 cups / 500 ml beef broth , preferably salt reduced', '1 tbsp Dijon mustard', '150 ml / 2/3 cup sour cream', 'Salt and pepper', '250 - 300 g / 8 - 10 oz pasta or egg noodles of choice (Note 3)', 'Chopped chives , for garnish (optional)']",4 - 5 people,15 minutes ,15 minutes ,30 minutes ,RecipeTinEats,"['Use your fist (or rolling pin or mallet) to flatten the steaks to about 3/4cm / 1/3"" thick. Slice into 5mm / 1/5"" strips (cut long ones in half), discarding excess fat.', 'Sprinkle with a pinch of salt and pepper.', ""Heat 1 tbsp oil in a large skillet over high heat. Scatter half the beef in the skillet, QUICKLY spread it with tongs. Leave untouched for 30 seconds until browned. Turn beef quickly (as best you can!). Leave untouched for 30 seconds to brown. Immediately remove onto a plate. Don't worry about pink bits and that it will be raw inside."", 'Add remaining 1 tbsp oil and repeat with remaining beef.', 'Turn heat down to medium high. Add butter, melt. Then add onions, cook for 1 minute, then add mushrooms.', 'Cook mushrooms until golden. Scrape bottom of fry pan to get all the golden bits off (this is flavour!).', 'Add flour, cook, stirring, for 1 minute.', 'Add half the broth while stirring. Once incorporated, add remaining broth.', 'Stir, then add sour cream and mustard. Stir until incorporated (don\'t worry if it looks split, sour cream will ""melt"" as it heats).', 'Bring to simmer ,then reduce heat to medium low. Once it thickens to the consistency of pouring cream (3 - 5 minutes), adjust salt and pepper to taste.', 'Add beef back in (including plate juices). Simmer for 1 minute, then remove from stove immediately. (Note 4)', 'Serve over pasta or egg noodles, sprinkled with chives if desired.']","[['Carbohydrates', '9g (3%)'], ['Protein', '37g (74%)'], ['Fat', '44g (68%)'], ['Saturated Fat', '24g (150%)'], ['Cholesterol', '125mg (42%)'], ['Sodium', '449mg (20%)'], ['Potassium', '1035mg (30%)'], ['Fiber', '1g (4%)'], ['Sugar', '3g (3%)'], ['Vitamin A', '485IU (10%)'], ['Vitamin C', '4mg (5%)'], ['Calcium', '57mg (6%)'], ['Iron', '3.7mg (21%)']]","https://www.recipetineats.com/beef-stroganoff/
",https://www.recipetineats.com/tachyon/2018/01/Beef-Stroganoff_2-1-1.jpg
Oven Baked Pork Chops with Potatoes,"Recipe video above. This is a sauce made for baked pork chops. It makes them come out golden and sticky, rather than pale and bland. It's a country-style sauce that's savoury and a bit sweet! Potatoes are optional - or sub with other roastable veg.",Western,4.94 from 416 votes,"['1 tsp Worcestershire Sauce', '2 tbsp ketchup (Note 1)', '1 tbsp soy sauce (Note 2)', '2 tbsp brown sugar (or white)', '1 tbsp olive oil (or vegetable or canola oil)', '1 clove garlic, minced', '2 tsp apple cider vinegar (Note 3)', '4 pork chops / cutlets , around 200-250g/7-8oz each including bone (Note 4)', '800g/ 1.6 lb baby potatoes , larger ones cut in half (Note 5)', '1 tbsp olive oil', 'Salt & pepper']",-,10 minutes ,30 minutes ,40 minutes ,RecipeTinEats,"['Meanwhile, mix the Rub ingredients together in a small bowl.', 'Slather the pork on both sides with the Rub, reserving some Rub for basting. (See notes for marinating)', 'Take the tray out of the oven. Toss potatoes then push them to the edge.', 'Place pork on tray. Bake for 15 minutes. ', 'Remove tray from oven, flick to broiler/grill on high (shelf about 20cm/8"" from heat source).', 'Flip pork, spoon over reserved rub and dab on sides. (Note 4). Broil 7 - 10 minutes until pretty well caramelised.', 'Remove from oven. Use a brush to get the golden juices off the tray and dab it onto the pork - this is key for flavour and colour! Pop it back under the broiler for a couple of minutes to finish off.', 'Serve, scraping the juices on the tray onto the pork, then garnish with parsley if desired. ']","[['Carbohydrates', '36.6g (12%)'], ['Protein', '27.2g (54%)'], ['Fat', '33.3g (51%)'], ['Saturated Fat', '10.8g (68%)'], ['Sodium', '409mg (18%)'], ['Fiber', '4.6g (19%)'], ['Sugar', '8.6g (10%)']]","https://www.recipetineats.com/oven-baked-pork-chops-with-potatoes/
",https://www.recipetineats.com/tachyon/2016/09/Baked-Pork-Chops_9-1.jpg
Frittata Egg Muffins,"Recipe VIDEO above. Healthy doesn't have to be bland! Just a touch of feta really makes all the difference with these frittata muffins. Great grab 'n go breakfast muffins - high in protein so it keeps you fuller for longer, keeps for days in the fridge or months in the freezer! ",Western,5 from 46 votes,"['6 eggs (large or medium)', '½ tsp salt', '¼ tsp black pepper', '3/4 cup chopped spinach (baby or normal Spinach, or similar leafy greens)', '1/2 cup diced red capsicum / bell pepper', '8 cherry tomatoes , quartered (Note 1)', '½ cup shallots , finely sliced', '70 g / 2.5 oz feta , crumbled (about 1/2 cup)', 'Oil spray , for greasing muffin tin']",-,10 minutes ,20 minutes ,30 minutes ,RecipeTinEats,"['Preheat oven to 180C/350F.', 'Spray 6 standard non stick muffin holes with oil.', 'Whisk eggs, salt and pepper. Stir through vegetables and feta.', 'Divide mixture between holes.', 'Bake 20 minutes or until the top is light golden and the centre springs back when touched.', 'Served immediately. Or allow to cool, then store in an airtight container in the fridge for 3 - 4 days, or freezer for 3 months (defrost 2 minutes in the microwave or overnight in the fridge).']",[],"https://www.recipetineats.com/healthy-egg-muffins/
",https://www.recipetineats.com/tachyon/2018/02/Healthy-Egg-Muffins_8.jpg
Hot and Sour Soup,"Recipe video above. A firm Chinese starter favourite! A glossy soup broth that's savoury, sour and as spicy as you want it to be, filled with mushrooms, tofu and bamboo shoots. Skip the chicken to make it meat free, or add shrimp/prawns or fish pieces. Serves 6 - 8 as a starter, or 4  as a light meal.",Chinese,4.98 from 87 votes,"['220 g / 7oz chicken breast', '12 dried shiitake mushrooms (or 150g/5oz fresh) (Note 1)', '1/2 cup wood ear mushrooms , chopped 1.5cm/ 3/5"" pieces (Note 1)', '1 tsp dried chilli / red pepper flakes , adjust spice to taste (Note 2)', '2 tsp dark soy sauce (Note 3)', '1 tbsp light soy sauce (Note 3)', '1 tsp ginger , finely grated', '1/2 tsp white pepper (sub black)', '6 cups (1.5L/1.5qt) chicken or veg stock/broth , low sodium', '1 tsp sesame oil', '1 tsp sugar', '1/4 cup (65 ml) white vinegar (adjust to taste)', '125 g / 4oz firm tofu (~ 1 cup) , cut into 1.2cm / 0.5"" cubes (Note 4)', '1/4 cup bamboo shoots , thinly sliced (Note 5)', '2 eggs , whisked', '1/4 cup (40g) cornstarch/cornflour', '1/4 cup (125 ml) water', 'Salt to taste', '1 shallot/scallion , finely sliced']",4 people,20 minutes ,20 minutes ,40 minutes ,RecipeTinEats,"['Add vinegar, shiitake, wood ear mushrooms, bamboo shoots, tofu and shredded chicken into the soup.', 'Stir, simmer for 10 minutes.', 'Mix cornflour with water. While stirring soup at a medium pace, slowly pour the cornflour mixture in (ensures no lumps).', 'When it starts simmering again, stir constantly and slowly pour egg in a thin stream - this will create the signature ""egg ribbons"".', 'Taste - add salt if desired, more chilli if you want.', 'Add shallots and serve!']","[['Calories', '216cal (11%)'], ['Carbohydrates', '19g (6%)'], ['Protein', '21g (42%)'], ['Fat', '6g (9%)'], ['Saturated Fat', '1g (6%)'], ['Cholesterol', '93mg (31%)'], ['Sodium', '501mg (22%)'], ['Potassium', '622mg (18%)'], ['Fiber', '1g (4%)'], ['Sugar', '2g (2%)'], ['Vitamin A', '130IU (3%)'], ['Vitamin C', '1.6mg (2%)'], ['Calcium', '55mg (6%)'], ['Iron', '1.7mg (9%)']]","https://www.recipetineats.com/hot-and-sour-soup/
",https://www.recipetineats.com/tachyon/2019/02/Hot-and-Sour-Soup_1_6.jpg
Chicken Stew,"Recipe video above. Slow cooked chicken with ultra tender flesh and outrageous crispy skin smothered in a gravy-like sauce that's lip smackingly delicious. Carrots, celery, onion and potato make this a filling meal so you won't need a side - except perhaps some crusty bread to dunk in the sauce! Make this in a large oven proof pot, or see notes if you don't have one.",Western,4.97 from 168 votes,"['1 tbsp olive oil', '1.5 kg / 3lb bone in, skin on chicken thighs and drumsticks (6 to 8 pieces)', 'Salt and pepper', '2 onions , halved and cut into wedges', '2 garlic cloves , minced', '3 large carrots , cut thick end into 1.5cm / 3/5"" pieces, thin end 2.5cm/1""', '4 celery stalks , cut into 2cm / 4/5"" chunks', '1/2 cup (125 ml) white wine (or water)', '3 tbsp (35g) flour', '3 cups (750 ml) chicken broth , low low sodium', '2 tbsp tomato paste', '2 tsp Worscestershire sauce', '3 sprigs thyme , or 1 tsp dried thyme (or other herb)', '2 bay leaves (dried or fresh)', '600 g / 1.2lb baby potatoes , halved (quarter large ones)', 'Fresh thyme or parsley (chopped)', 'Warm crusty bread']",5 - 6,10 minutes ,1 hour 30 minutes ,1 hour 40 minutes ,RecipeTinEats,"['Preheat oven to 180C/350F.', 'Heat oil in a large pot over high heat. Brown chicken on both sides until light golden, sprinkling with salt and pepper. Remove from pot. (Do in 2 batches if pot not big enough).', ""If there's too much oil in the pot, discard some. Add onion and garlic. Cook for 2 minutes until onion is translucent."", 'Add carrots and celery, cook for 1 minute.', 'Add wine. Stir, scraping the bottom of the pan to dissolve the brown bits into the liquid. Cook for 1 minute until liquid is mostly gone.', 'Sprinkle flour across surface, stir.', 'Add broth, tomato paste, Worcestershire sauce, thyme and bay leaves. Stir to dissolve tomato paste.', 'Place chicken on top, keeping the skin above the liquid level as much as you can.', 'Bring to simmer then cover. Bake for 45 minutes.', 'Remove from oven, remove lid. Add potatoes, pushing them into the liquid and rearranging chicken so they sit on top (for lovely crispy skin).', 'Return to oven without the lid for a further 40 minutes until the chicken skin is deep golden and super crispy, the potatoes are soft and the sauce is thickened.', 'Taste sauce and adjust salt and pepper to taste.', 'Serve with warm crusty bread on the side to dunk in the sauce - or go all the way with Garlic Bread! Optional: garnish with extra fresh thyme leaves or parsley.']",[],"https://www.recipetineats.com/chicken-stew/
",https://www.recipetineats.com/tachyon/2018/05/Chicken-Stew_5.jpg
